HESSI Flare List  (generated  5-Sep-2012 16:47)

Total # flares: 66106  Time range: 12-Feb-2002 21:29:56.000 - 31-Jul-2012 14:38:28.000
 
    Flare     Start time        Peak      End      Dur   Peak     Total      Energy X Pos Y Pos Radial   AR          Flags          
                                                     s    c/s    Counts         keV  asec  asec   asec                              

  7042507 25-Apr-2007 16:43:32 16:46:50 16:48:00   268    200    107741         3-6     0     0      0    0  a0 a1 A3 GD GE PE PS Q3  
  7042508 25-Apr-2007 18:15:12 18:16:22 18:19:08   236     72     49680        6-12  -923  -178    940  953  A0 P1                    
  7042634 26-Apr-2007 00:26:12 00:28:22 00:29:32   200     38     37536        6-12  -920  -120    928  953  A0 DR P1 Q1              
  7042601 26-Apr-2007 02:02:52 02:03:38 02:17:56   904     26    113664        6-12  -913  -140    924  953  A0 DR P1 Q1              
  7042602 26-Apr-2007 02:22:48 02:24:18 02:27:52   304     92     75312       12-25  -913  -156    926  953  A0 P1                    
  7042610 26-Apr-2007 04:18:08 04:18:26 04:19:12    64     22      7152        6-12   907  -214    932    0  A0 P1                    
  7042613 26-Apr-2007 06:08:44 06:09:18 06:10:16    92     26     12552        6-12  -909  -183    927  953  A0 DR P1 Q1              
  7042635 26-Apr-2007 09:19:44 09:20:14 09:21:00    76     26      9840        6-12  -895  -179    912  953  A0 P1                    
  7042629 26-Apr-2007 15:35:28 15:35:38 15:36:52    84     24     10752        6-12   683   568    889    0  A0 P1                    
  7042606 26-Apr-2007 16:41:20 16:44:58 16:49:12   472    108    164088         3-6     0     0      0    0  A0 PE PS Q1              
  7042636 26-Apr-2007 21:43:04 21:43:14 21:45:00   116     16      9624        6-12  -862  -172    879  953  A0 P1                    
  7042637 26-Apr-2007 22:50:00 22:50:30 22:51:40   100     38     19392        6-12  -851  -177    869  953  A0 DR P1 PE Q2           
  7042632 26-Apr-2007 23:25:48 23:35:38 23:44:32  1124    120    260904        6-12  -845  -172    863  953  A0 DR P1 PE Q2           
