comp_id,id,flag,spacecraft,time_start,time_end,time_pt_max,pt_max,b_max,np_max,v_min,v_max
|14||STEREO-B|2008-05-30 02:00:00|2008-05-30 23:00:00|2008-05-30 10:15:00|140|13|7|450|680
|15||STEREO-B|2008-06-12 21:35:00|2008-06-15 08:10:00|2008-06-14 06:25:00|200|12.5|20|350|700
|16||STEREO-B|2008-06-24 13:00:00|2008-06-28 16:00:00|2008-06-25 04:45:00|239|17|40|290|660
|17||STEREO-B|2008-07-09 11:42:00|2008-07-10 21:00:00|2008-07-10 08:02:00|175|18.5|38|285|620
|18||STEREO-B|2008-07-19 07:28:00|2008-07-19 23:00:00|2008-07-19 13:50:00|220|12|40|300|445
|19||STEREO-B|2008-07-20 22:27:00|2008-07-21 10:31:00|2008-07-21 01:21:00|229|15|38|370|585
|20||STEREO-B|2008-07-25 12:00:00|2008-07-26 12:00:00|2008-07-26 00:40:00|120|9|20|360|530
|21||STEREO-B|2008-08-06 21:17:00|2008-08-07 16:00:00|2008-08-07 02:10:00|210|14|35|360|700
|22||STEREO-B|2008-08-16 01:16:00|2008-08-16 14:00:00|2008-08-16 03:00:00|266|18|50|330|560
|23||STEREO-B|2008-09-01 03:00:00|2008-09-02 02:30:00|2008-09-01 08:24:00|180|14|40|285|600
|24||STEREO-B|2008-09-11 14:00:00|2008-09-13 11:00:00|2008-09-12 17:55:00|140|12.5|30|290|600
|25||STEREO-B|2008-09-28 02:25:00|2008-09-29 16:00:00|2008-09-28 15:42:00|170|10.2|30|340|680
|26||STEREO-B|2008-10-07 10:00:00|2008-10-10 06:00:00|2008-10-09 06:20:00|150|12|30|280|580
|27||STEREO-B|2008-10-24 12:00:00|2008-10-27 12:00:00|2008-10-26 01:35:00|130|12|20|287|700
|28||STEREO-B|2008-11-03 04:00:00|2008-11-05 16:00:00|2008-11-05 00:00:00|80|8|18|290|540
|29||STEREO-B|2008-11-11 17:00:00|2008-11-13 00:00:00|2008-11-12 03:05:00|100|11.8|15|315|520
|30||STEREO-B|2008-11-21 21:17:00|2008-11-23 21:00:00|2008-11-22 02:30:00|140|11.5|25|300|600
|31||STEREO-B|2008-11-30 18:21:00|2008-12-01 17:00:00|2008-12-01 01:25:00|150|12.2|30|315|520
|32||STEREO-B|2008-12-07 04:35:00|2008-12-10 00:00:00|2008-12-08 22:45:00|260|20|40|280|600
|33||STEREO-B|2008-12-18 10:00:00|2008-12-20 14:00:00|2008-12-19 22:45:00|90|9|10|320|590
|34||STEREO-B|2008-12-27 12:41:00|2008-12-28 16:00:00|2008-12-27 21:08:00|130|13.2|25|290|500
|1||STEREO-B|2009-01-04 12:00:00|2009-01-06 12:00:00|2009-01-05 20:50:00|80|10|20|280|530
|2||STEREO-B|2009-01-14 04:00:00|2009-01-15 08:00:00|2009-01-14 13:25:00|155|13|25|360|630
|3||STEREO-B|2009-01-23 11:00:00|2009-01-24 04:00:00|2009-01-23 17:55:00|120|14|28|280|440
|4||STEREO-B|2009-02-01 12:00:00|2009-02-04 12:00:00|2009-02-03 03:45:00|125|10|20|280|430
|5||STEREO-B|2009-02-10 13:15:00|2009-02-11 10:21:00|2009-02-10 22:10:00|190|18|25|300|580
|6||STEREO-B|2009-02-23 22:00:00|2009-02-25 02:00:00|2009-02-24 10:22:00|140|9.4|8|320|560
|7||STEREO-B|2009-03-09 15:45:00|2009-03-10 14:47:00|2009-03-10 05:02:00|250|19|35|285|565
|8||STEREO-B|2009-03-16 18:00:00|2009-03-18 06:00:00|2009-03-17 14:40:00|110|10|7|300|470
|9||STEREO-B|2009-03-22 22:00:00|2009-03-25 06:00:00|2009-03-24 16:42:00|100|9|30|300|520
|10||STEREO-B|2009-03-30 00:00:00|2009-04-01 18:00:00|2009-03-30 13:29:00|101|12.5|17.5|267|560
|11||STEREO-B|2009-04-04 06:00:00|2009-04-05 12:00:00|2009-04-04 15:40:00|60|8.3|16|280|490
|12||STEREO-B|2009-04-12 22:00:00|2009-04-14 20:30:00|2009-04-13 16:38:00|190|8.6|22|295|570
|13||STEREO-B|2009-05-01 20:00:00|2009-05-03 11:00:00|2009-05-02 00:00:00|70|5.7|21|305|505
|14||STEREO-B|2009-05-18 19:00:00|2009-05-20 10:00:00|2009-05-19 12:22:00|165|15|30|310|565
