time_start,time_end,time_peak,xray_class,lat_hg,long_hg,long_carr,nar,ename,url_nar,url_flare
2013-06-04 04:09:00| 2013-06-04 04:23:00| 2013-06-04 04:20:00| B5.7| -19| 17| 110.35| 11761| gev_20130604_0409| http://www.solarmonitor.org/region.php?date=20130604&region=11761| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/04/gev_20130604_0409/index.html
2013-06-04 07:53:00| 2013-06-04 09:07:00| 2013-06-04 08:32:00| B7.0| -33| 36| 127.29| 11762| gev_20130604_0753| http://www.solarmonitor.org/region.php?date=20130604&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/04/gev_20130604_0753/index.html
2013-06-05 08:14:00| 2013-06-05 09:26:00| 2013-06-05 08:56:00| M1.3| -31| 52| 129.86| 11762| gev_20130605_0814| http://www.solarmonitor.org/region.php?date=20130605&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/05/gev_20130605_0814/index.html
2013-06-06 04:15:00| 2013-06-06 04:21:00| 2013-06-06 04:18:00| B4.3| -29| 59| 125.82| 11762| gev_20130606_0415| http://www.solarmonitor.org/region.php?date=20130606&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/06/gev_20130606_0415/index.html
2013-06-06 05:20:00| 2013-06-06 06:30:00| 2013-06-06 05:47:00| B5.3| -33| 61| 127.23| 11762| gev_20130606_0520| http://www.solarmonitor.org/region.php?date=20130606&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/06/gev_20130606_0520/index.html
2013-06-06 20:39:00| 2013-06-06 20:49:00| 2013-06-06 20:43:00| B5.7| -30| 68| 125.78| 11762| gev_20130606_2039| http://www.solarmonitor.org/region.php?date=20130606&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/06/gev_20130606_2039/index.html
2013-06-06 23:08:00| 2013-06-06 23:15:00| 2013-06-06 23:11:00| B5.6| 9| -4| 52.41| 11765| gev_20130606_2308| http://www.solarmonitor.org/region.php?date=20130606&region=11765| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/06/gev_20130606_2308/index.html
2013-06-06 23:18:00| 2013-06-06 00:09:00| 2013-06-06 23:35:00| B7.7| -34| 73| 129.32| 11762| gev_20130606_2318| http://www.solarmonitor.org/region.php?date=20130606&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/06/gev_20130606_2318/index.html
2013-06-06 23:19:00| 2013-06-06 23:51:00| 2013-06-06 23:35:00| B7.6| -34| 73| 129.31| 11762| gev_20130606_2319| http://www.solarmonitor.org/region.php?date=20130606&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/06/gev_20130606_2319/index.html
2013-06-07 01:02:00| 2013-06-07 01:13:00| 2013-06-07 01:08:00| C1.0| -31| 70| 125.36| 11762| gev_20130607_0102| http://www.solarmonitor.org/region.php?date=20130607&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/07/gev_20130607_0102/index.html
2013-06-07 01:15:00| 2013-06-07 01:29:00| 2013-06-07 01:19:00| B6.8| -31| 73| 128.24| 11762| gev_20130607_0115| http://www.solarmonitor.org/region.php?date=20130607&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/07/gev_20130607_0115/index.html
2013-06-07 09:27:00| 2013-06-07 09:54:00| 2013-06-07 09:42:00| C1.1| -33| 87| 137.72| 11762| gev_20130607_0927| http://www.solarmonitor.org/region.php?date=20130607&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/07/gev_20130607_0927/index.html
2013-06-07 11:42:00| 2013-06-07 12:00:00| 2013-06-07 11:51:00| C3.0| -30| 78| 127.48| 11762| gev_20130607_1142| http://www.solarmonitor.org/region.php?date=20130607&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/07/gev_20130607_1142/index.html
2013-06-07 19:18:00| 2013-06-07 19:27:00| 2013-06-07 19:23:00| B6.6| -29| 83| 128.29| 11762| gev_20130607_1918| http://www.solarmonitor.org/region.php?date=20130607&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/07/gev_20130607_1918/index.html
2013-06-07 21:07:00| 2013-06-07 21:17:00| 2013-06-07 21:11:00| B4.2| -30| 89| 133.29| 11762| gev_20130607_2107| http://www.solarmonitor.org/region.php?date=20130607&region=11762| http://www.lmsal.com/solarsoft/latest_events_archive/events_summary/2013/06/07/gev_20130607_2107/index.html
