comp_id,id,flag,spacecraft,time_start,time_end,time_pt_max,pt_max,b_max,np_max,v_min,v_max
|12||STEREO-A|2008-05-21 00:41:00|2008-05-24 06:00:00|2008-05-21 16:52:00|120|14|50|300|600
|13||STEREO-A|2008-05-29 04:00:00|2008-05-31 02:00:00|2008-05-30 00:22:00|103|14|40|308|540
|14||STEREO-A|2008-06-08 12:00:00|2008-06-09 21:00:00|2008-06-09 00:12:00|110|13|30|320|580
|15||STEREO-A|2008-06-16 06:00:00|2008-06-17 19:00:00|2008-06-16 18:52:00|120|12|30|330|660
|16||STEREO-A|2008-06-26 00:00:00|2008-06-27 04:00:00|2008-06-26 10:07:00|80|7.7|30|320|495
|17||STEREO-A|2008-06-27 18:00:00|2008-06-29 08:00:00|2008-06-28 14:50:00|90|9|60|360|560
|18||STEREO-A|2008-07-12 06:00:00|2008-07-16 16:00:00|2008-07-14 17:18:00|68|11.5|10|300|680
|19||STEREO-A|2008-07-23 08:00:00|2008-07-27 16:00:00|2008-07-25 10:13:00|105|12|40|300|550
|20||STEREO-A|2008-08-02 14:00:00|2008-08-03 18:00:00|2008-08-02 23:25:00|52|9|20|300|440
|21||STEREO-A|2008-08-07 16:00:00|2008-08-12 00:00:00|2008-08-11 04:00:00|88|10|20|320|680
|22||STEREO-A|2008-08-20 12:00:00|2008-08-21 16:00:00|2008-08-20 22:51:00|200|14|70|340|640
|23||STEREO-A|2008-09-07 23:38:00|2008-09-08 16:00:00|2008-09-08 06:57:00|110|11|15|420|700
|24||STEREO-A|2008-09-16 13:49:00|2008-09-17 20:00:00|2008-09-17 00:36:00|120|14|40|340|600
|25||STEREO-A|2008-10-03 00:00:00|2008-10-06 00:00:00|2008-10-05 05:00:00|190|12|20|300|750
|26||STEREO-A|2008-10-12 17:12:00|2008-10-14 18:00:00|2008-10-13 16:45:00|150|12.7|25|340|560
|27||STEREO-A|2008-10-31 03:24:00|2008-11-01 08:00:00|2008-10-31 17:50:00|290|20|70|300|660
|28||STEREO-A|2008-11-09 00:38:00|2008-11-09 21:04:00|2008-11-09 14:20:00|200|15.2|55|300|600
|29||STEREO-A|2008-11-28 16:44:00|2008-11-29 20:00:00|2008-11-28 23:48:00|240|20|70|290|550
|30||STEREO-A|2008-12-06 05:42:00|2008-12-07 09:00:00|2008-12-06 17:10:00|178|14.8|28|320|520
|1||STEREO-A|2009-01-04 21:00:00|2009-01-07 06:00:00|2009-01-05 20:15:00|90|11|20|320|560
|2||STEREO-A|2009-02-01 18:00:00|2009-02-03 18:00:00|2009-02-03 03:30:00|60|8|10|320|530
|3||STEREO-A|2009-02-17 08:00:00|2009-02-18 01:55:00|2009-02-17 14:09:00|240|18|60|300|600
|4||STEREO-A|2009-02-24 16:00:00|2009-02-28 08:00:00|2009-02-25 05:52:00|110|11|30|320|520
|5||STEREO-A|2009-03-03 04:00:00|2009-03-05 06:00:00|2009-03-04 07:25:00|83|11|13.5|330|480
|6||STEREO-A|2009-03-09 20:17:00|2009-03-11 00:00:00|2009-03-10 03:51:00|140|12.3|40|300|560
|7||STEREO-A|2009-03-14 20:00:00|2009-03-17 00:00:00|2009-03-15 23:10:00|80|10|11|350|640
|8||STEREO-A|2009-03-23 02:00:00|2009-03-25 00:00:00|2009-03-26 08:50:00|75|10|17.5|300|460
|9||STEREO-A|2009-04-10 22:00:00|2009-04-14 06:00:00|2009-04-12 19:12:00|110|11|25|290|520
|10||STEREO-A|2009-04-19 16:00:00|2009-04-21 10:00:00|2009-04-20 06:35:00|250|14.8|70|300|460
|11||STEREO-A|2009-05-09 04:00:00|2009-05-10 09:00:00|2009-05-09 11:09:00|270|8|80|300|545
|12||STEREO-A|2009-05-31 08:13:00|2009-06-02 16:00:00|2009-05-31 15:34:00|150|11.5|40|300|570
|13||STEREO-A|2009-06-20 00:00:00|2009-06-21 13:00:00|2009-06-20 09:13:00|73|7|28|300|400
|14||STEREO-A|2009-06-24 15:00:00|2009-06-25 10:00:00|2009-06-25 00:35:00|70|10|13|320|480
|15||STEREO-A|2009-06-27 13:00:00|2009-06-30 05:15:00|2009-06-28 07:40:00|145|12|40|310|600
|16||STEREO-A|2009-07-11 10:00:00|2009-07-14 08:00:00|2009-07-13 12:05:00|200|15|60|355|560
|17||STEREO-A|2009-07-17 02:02:00|2009-07-18 12:00:00|2009-07-18 00:08:00|125|10|19|320|540
|18||STEREO-A|2009-07-23 00:00:00|2009-07-24 22:00:00|2009-07-23 13:00:00|70|9|30|270|380
|19||STEREO-A|2009-07-25 12:00:00|2009-07-27 12:00:00|2009-07-26 15:05:00|110|12.3|20|300|560
