id,spacecraft,time_start,mag_ratio,norm_angle,beta,mach_no,data_avail,source,f_r_shock,shock_comment
48|STEREO-A|2009-10-16 14:56:55.00|1.25000|58.9000|1.00000|1.21000|Y|ICME|F|F
49|STEREO-A|2009-11-26 23:06:27.00|1.30000|73.1000|3.01000|1.20000|N|in slow wind, 12 hrs after SIR|F|F, weak plasma signatures, upstream waves
50|STEREO-A|2009-12-01 04:09:10.00|1.52000|69.4000|1.49000|1.40000|N|SIR|R|R, clear plasma signatures
51|STEREO-A|2009-12-08 23:37:45.30|1.92000|75.0000|27.6900|1.72000|Y|ICME|F|F, clear plasma signatures, downstream waves
52|STEREO-A|2009-12-14 06:08:59.00|1.20000|64.9000|1.74000|1.15000|Y|a small Vp increase in slow wind < 300 km/s|F|F, clear plasma signatures except no Tp increase, strong upstream and downstream waves
53|STEREO-A|2009-12-22 23:51:15.00|1.59000|30.0000|0.950000|1.78000|Y|SIR|R|R, weak plasma signatures, not a neat B rise
54|STEREO-A|2009-12-31 12:52:31.50|1.67000|53.7000|7.54000|1.68000|Y|SIR|F|F, clear plasma signatures, upstream waves
55|STEREO-A|2010-02-05 03:33:13.00|2.28000|49.3000|3.77000|2.70000|Y|ICME+SIR|F|F, clear plasma signatures, upstream and downstream waves
56|STEREO-A|2010-02-15 04:41:31.00|1.55000|71.6000|1.57000|1.42000|N|~ 2 days after a SIR, a bump in slow wind|F|F, clear plasma signatures, downstream waves
57|STEREO-A|2010-03-11 19:09:23.00|1.42000|50.7000|2.91000|1.42000|Y|SIR|F|F, plasma signatures except slow Tp increase, upstream waves
58|STEREO-A|2010-03-15 13:39:26.00|1.49000|47.4000|1.90000|1.50000|Y|a big bump in fast wind ~ 700 km/s|F|F, plasma signatures
59|STEREO-A|2010-04-04 01:10:04.75|1.47000|84.3000|1.23000|1.35000|Y|SIR|F|F, upstream and downstream waves, clear plasma signatures
60|STEREO-A|2010-04-23 00:34:36.00|1.55000|73.5000|2.78000|1.40000|N|ICME|F|F, plasma signatures except no Tp increase, downstream waves
61|STEREO-A|2010-05-08 09:24:07.00|1.51000|82.1000|0.660000|1.39000|Y|SIR|R|R, weak plasma signatures, downstream waves
62|STEREO-A|2010-05-30 14:59:19.00|1.63000|58.1000|2.76000|1.56000|N|ICME|F|F, plasma signatures, upstream waves
63|STEREO-A|2010-06-03 08:36:28.50|2.12000|67.2000|14.6200|2.00000|Y|ICME|F|F, downstream waves, plasma signatures
64|STEREO-A|2010-06-05 07:30:10.00|1.37000|63.8000|0.370000|1.30000|N|SIR|R|R, downstream waves, plasma signatures
65|STEREO-A|2010-08-20 16:13:39.50|2.91000|56.8000|0.750000|4.05000|Y|ICME|F|F, upstream and downstream waves, clear plasma signatures
66|STEREO-A|2010-08-21 16:57:26.00|1.19000|69.3000|0.270000|1.15000|N|3 hrs after an ICME, a faster solar wind overtaking the ICME|R|R, upstream waves, weak plasma signatures
67|STEREO-A|2010-09-07 08:29:06.40|1.37000|86.7000|1.21000|1.28000|Y|ICME|F|F, upstream and downstream waves, plasma signatures
68|STEREO-A|2010-09-11 06:58:47.00|2.08000|75.0000|1.42000|1.92000|Y|ICME|F|F, upstream and downstream waves, plasma signatures
69|STEREO-A|2010-09-17 22:33:43.50|1.43000|53.3000|0.540000|1.36000|N|ICME|F|F, upstream waves, plasma signatures
70|STEREO-A|2010-10-31 10:04:13.00|1.58000|40.7000|0.390000|1.52000|N|SIR|R|R, upstream and downstream waves, plasma signatures
71|STEREO-A|2010-11-16 19:25:53.50|1.09000|15.5000|-1.00000|1.18000|Y|SIR|R|R, downstream waves, weak plasma signatures
72|STEREO-A|2010-12-04 00:10:21.00|1.86000|70.4000|3.70000|1.70000|N|SIR|F|F, upstream and downstream waves, plasma signatures
73|STEREO-A|2010-12-14 17:15:32.50|1.46000|71.0000|1.98000|1.35000|Y|ICME|F|F, downstream waves, weak plasma signatures
74|STEREO-A|2011-01-17 18:31:00.00|1.45000|40.9000|0.650000|1.42000|N|8 hrs after an ICME, caused by a fast wind ~ 530 km/s|R|R, waves in the transition region
75|STEREO-A|2011-01-23 17:06:03.20|1.48000|59.3000|1.76000|1.40000|Y|SIR|F|F, upstream waves, Vp and Np increase, but Tp does not increase promptly
76|STEREO-A|2011-01-25 00:06:27.00|1.21000|59.1000|0.610000|1.16000|N|SIR|R|R, upstream waves (not sure of the origin), ICWs upstream, field change is not very sharp, changes of plasma parameters are not abrupt
77|STEREO-A|2011-02-18 17:43:00.25|1.22000|72.2000|2.32000|1.16000|Y|a small Vp increase in slow wind ~ 350 km/s|F|F, large-amplitude upstream waves of fs/c ~ 1.4 Hz, increases of plasma parameters are small
78|STEREO-A|2011-03-09 06:47:40.00|1.62000|28.7000|6.23000|2.56000|Y|ICME|F|F, no upstream or downstream waves, clear plasma signatures
79|STEREO-A|2011-03-19 11:24:39.30|1.84000|84.3000|1.06000|1.66000|N|ICME|F|F, upstream and downstream waves, prominent plasma signatures
