time_start,time_peak,time_end,id_dimming,nimg,intensity,max_drop,lat_hg,long_hg,long_carr,rsun,nar,xray_class,url_dimming,url_flare
2015/01/13 05:12|2015/01/14 05:12|2015/01/14 05:38|3899|22|-36|29||||1.09||M8|http://solardemon.oma.be/science/dimmings.php?did=3899|http://solardemon.oma.be/science/flares.php?fid=7438
2015/01/13 05:54|2015/01/14 06:20|2015/01/14 07:42|3900|63|-42|6|5|66|316.62|0.93|12257||http://solardemon.oma.be/science/dimmings.php?did=3900|
2015/01/13 08:38|2015/01/14 08:42|2015/01/14 09:10|3901|25|-13|4|||||12259||http://solardemon.oma.be/science/dimmings.php?did=3901|
2015/01/13 12:16|2015/01/14 12:16|2015/01/14 12:42|3902|22|-13|15||||1.05|||http://solardemon.oma.be/science/dimmings.php?did=3902|
2015/01/13 14:14|2015/01/14 14:14|2015/01/14 14:38|3903|21|-20|21||||1.16||B7|http://solardemon.oma.be/science/dimmings.php?did=3903|http://solardemon.oma.be/science/flares.php?fid=7440
2015/01/13 22:24|2015/01/14 22:42|2015/01/14 23:16|3904|35|-159|61||||1.14||B8|http://solardemon.oma.be/science/dimmings.php?did=3904|http://solardemon.oma.be/science/flares.php?fid=7443
2015/01/14 03:12|2015/01/15 03:12|2015/01/15 03:40|3905|23|-39|14||||1.09|||http://solardemon.oma.be/science/dimmings.php?did=3905|
2015/01/14 04:04|2015/01/15 04:04|2015/01/15 04:28|3906|21|-4|3|||||12259|C7|http://solardemon.oma.be/science/dimmings.php?did=3906|http://solardemon.oma.be/science/flares.php?fid=7447
2015/01/14 05:22|2015/01/15 05:22|2015/01/15 05:50|3907|23|-32|29|5|76|313.75|0.98|12257|C5|http://solardemon.oma.be/science/dimmings.php?did=3907|http://solardemon.oma.be/science/flares.php?fid=7448
2015/01/14 06:32|2015/01/15 06:32|2015/01/15 06:58|3908|22|-15|19||||1.13||C2|http://solardemon.oma.be/science/dimmings.php?did=3908|http://solardemon.oma.be/science/flares.php?fid=7449
2015/01/14 07:12|2015/01/15 07:12|2015/01/15 07:40|3909|23|-9|10||||1.12||C2|http://solardemon.oma.be/science/dimmings.php?did=3909|http://solardemon.oma.be/science/flares.php?fid=7449
2015/01/14 15:40|2015/01/15 15:40|2015/01/15 16:14|3910|26|-3|8|||||12261||http://solardemon.oma.be/science/dimmings.php?did=3910|
2015/01/14 17:16|2015/01/15 17:18|2015/01/15 18:18|3911|40|-129|36||||1.14|||http://solardemon.oma.be/science/dimmings.php?did=3911|
2015/01/14 18:30|2015/01/15 18:30|2015/01/15 18:54|3912|21|-44|37||||1.15||C1|http://solardemon.oma.be/science/dimmings.php?did=3912|http://solardemon.oma.be/science/flares.php?fid=7456
