gbm_id,time_start,time_peak,time_end,duration,rate_peak,total,detectors,trigger,rhessi_id
150112_0744|2015/01/12 07:44:47.000|2015/01/13 07:49:58.000|2015/01/13 07:52:17.000|451|4272|227249|n5 n1 n3 n0||
150112_1242|2015/01/12 12:42:24.000|2015/01/13 12:42:53.000|2015/01/13 12:43:30.000|66|1899|14920|n5 n4 n2 n3||
150112_1455|2015/01/12 14:55:54.000|2015/01/13 15:10:30.000|2015/01/13 15:12:04.000|971|950|137097|n5 n4 n2 n3||15011240
150113_0415|2015/01/13 04:15:13.000|2015/01/14 04:21:36.000|2015/01/14 04:39:04.000|1430|364968|101951816|n5 n4 n2 n3|bn150113180|
150113_0524|2015/01/13 05:24:32.000|2015/01/14 05:24:45.000|2015/01/14 05:33:41.000|549|720|53020|n5 n1 n3 n4||15011306
150113_0533|2015/01/13 05:33:58.000|2015/01/14 05:38:40.000|2015/01/14 05:39:13.000|315|694|45860|n0 n1 n3 n6||15011306
150113_1311|2015/01/13 13:11:22.000|2015/01/14 13:12:32.000|2015/01/14 13:16:29.000|307|4563|108158|n5 n1 n3 n4||15011319
150113_2303|2015/01/13 23:03:52.000|2015/01/14 23:04:17.000|2015/01/14 23:06:11.000|139|2423|53234|n5 n4 n3 n1||
150114_0156|2015/01/14 01:56:13.000|2015/01/15 01:56:40.000|2015/01/15 01:56:59.000|47|4046|40081|n5 n1 n3 n0|bn150114081|15011408
150114_0227|2015/01/14 02:27:13.000|2015/01/15 02:29:08.000|2015/01/15 02:37:52.000|639|20749|748160|n5 n3 n1 n4||
150114_0335|2015/01/14 03:35:48.000|2015/01/15 03:43:35.000|2015/01/15 03:56:58.000|1270|45701|2972911|n1 n3 n0 n5||15011416
150114_0841|2015/01/14 08:41:27.000|2015/01/15 08:43:24.000|2015/01/15 08:50:01.000|514|6197|845653|n5 n3 n1 n4|bn150114363|
150114_1157|2015/01/14 11:57:02.000|2015/01/15 11:57:27.000|2015/01/15 12:01:12.000|250|2039|89948|n5 n3 n1 n4||
150114_1300|2015/01/14 13:00:23.000|2015/01/15 13:00:40.000|2015/01/15 13:12:49.000|745|5602|414246|n5 n4 n2 n1||15011435
150114_1819|2015/01/14 18:19:30.000|2015/01/15 18:20:11.000|2015/01/15 18:27:45.000|496|1563|137243|n5 n3 n1 n4||
150114_1942|2015/01/14 19:42:02.000|2015/01/15 19:42:43.000|2015/01/15 19:44:54.000|172|3814|72453|n0 n1 n3 n6||
150114_2316|2015/01/14 23:16:32.000|2015/01/15 23:20:21.000|2015/01/15 23:28:12.000|700|2323|188621|n1 n3 n0 n5||15011460
150115_0322|2015/01/15 03:22:36.000|2015/01/16 03:25:20.000|2015/01/16 03:41:59.000|1163|1770|276391|n5 n1 n3 n4||15011509
150115_1450|2015/01/15 14:50:18.000|2015/01/16 14:56:02.000|2015/01/16 15:00:49.000|631|2288|183832|n0 n6 n1 n3||
150115_1639|2015/01/15 16:39:03.000|2015/01/16 16:39:44.000|2015/01/16 16:50:44.000|700|3593|284052|n5 n4 n2 n3||15011530
150116_0320|2015/01/16 03:20:43.000|2015/01/17 03:22:01.000|2015/01/17 03:26:35.000|352|2834|80345|n1 n3 n0 n5||
