flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type
88	1984-03-21	12:50:00		12:50:00		12:58:00	D	N08	E24	SN
89	1984-03-21	14:28:00		14:32:00		14:35:00	D	N08	E25	SF
90	1984-03-21	14:32:00		14:32:00		14:32:00		N15	E11	SF
91	1984-03-21	15:38:00	E	15:38:00	U	15:41:00	D	N08	E25	SF
92	1984-03-22	07:59:00	E	07:59:00	U	08:34:00		N08	E17	SN
93	1984-03-22	08:03:00		08:03:00		08:06:00		N16	E18	SF
94	1984-03-22	09:52:00		09:56:00		10:00:00		S13	E43	SN
95	1984-03-22	10:30:00		10:50:00		11:14:00		N07	E14	1F
96	1984-03-22	12:37:00		12:37:00		12:52:00		N09	E10	SF
97	1984-03-22	13:52:00		13:56:00		14:03:00		S12	E39	SN
98	1984-03-26	08:36:00		08:40:00		08:49:00	D	S16	E77	SB
99	1984-03-28	08:24:00		08:28:00		08:32:00		N18	E90	SB
100	1984-03-31	07:47:00		07:47:00		07:47:00	D	N18	E38	SF
101	1984-03-31	08:14:00	E	08:14:00	U	08:21:00		N23	E43	SB
102	1984-03-31	13:44:00		13:44:00		13:57:00		N22	E40	SN
103	1984-04-01	07:57:00		07:58:00		08:01:00		S15	E11	SN
104	1984-04-10	10:29:00	E	10:29:00		10:37:00		N11	E83	SB
105	1984-04-10	12:23:00		12:28:00		12:32:00		N11	E83	SF
106	1984-04-14	07:20:00		07:31:00		07:38:00		N09	E29	SN
107	1984-04-14	11:02:00		11:05:00		11:13:00		N13	E14	SF
108	1984-04-14	12:55:00		12:55:00		12:59:00		S17	E84	SF
109	1984-04-14	13:10:00		13:10:00		13:19:00		S14	E82	SN
110	1984-04-14	14:38:00		14:38:00		14:42:00		N10	E26	SN
111	1984-04-14	14:54:00		14:54:00		15:06:00		N10	E26	SN
112	1984-04-14	14:34:00		14:38:00		14:46:00		N14	E26	SN
113	1984-04-15	07:31:00		07:31:00		07:38:00		S17	E67	SF
114	1984-04-15	13:10:00		13:10:00		13:38:00		S14	E61	SF
115	1984-04-20	07:39:00		07:43:00		07:59:00		N04	W64	SN
116	1984-04-20	08:51:00		08:58:00		09:06:00		N05	W65	SN
117	1984-04-20	11:03:00		11:06:00		11:22:00		S11	E84	SN
118	1984-04-20	13:15:00		13:15:00		13:46:00		S17	E03	SN
119	1984-04-20	16:42:00		16:46:00	U	16:50:00	D	S15	E85	SN
120	1984-04-21	00:00:00		00:00:00		14:11:00		S09	E76	SF
121	1984-04-21	14:23:00		14:58:00		15:28:00		S08	E69	1B
122	1984-04-21	15:43:00	E	15:53:00		16:06:00		S09	E72	SB
123	1984-04-22	11:32:00		11:32:00		11:36:00	D	S09	E66	SB
124	1984-04-22	12:30:00		12:30:00		12:38:00		S09	E70	SF
125	1984-04-22	13:11:00		13:11:00		13:21:00		S13	E60	SF
126	1984-04-22	13:25:00		13:29:00	U	13:29:00	D	S07	E62	SF
127	1984-04-22	13:44:00		13:44:00		13:56:00		S08	E60	SB
128	1984-04-22	14:04:00		14:04:00		14:15:00		N06	W79	SN
129	1984-04-23	07:16:00	E	00:00:00		07:27:00		S14	W35	SN
130	1984-04-23	09:22:00		09:22:00		09:26:00		S13	E49	SN
131	1984-04-24	08:54:00		08:54:00		08:58:00		S12	E47	SN
132	1984-04-25	08:44:00		08:44:00		08:48:00		S08	E46	SN
133	1984-04-25	12:27:00		12:31:00		12:35:00		S09	E44	SF
134	1984-04-25	14:05:00		00:00:00		00:00:00		S08	E45	SB
135	1984-04-25	14:59:00		15:02:00		15:09:00		S08	E42	SB
136	1984-04-26	06:57:00		06:57:00		07:13:00		S08	E35	1N
137	1984-04-26	07:06:00		07:10:00		08:36:00		S06	E26	SN
138	1984-04-26	07:26:00		07:29:00		08:02:00		S08	W31	1N
139	1984-04-26	08:56:00		09:00:00		09:24:00		S07	E32	1B
140	1984-04-26	12:38:00		12:38:00		12:46:00		S08	W33	SF
141	1984-04-26	12:46:00		12:50:00		13:11:00	D	S11	E16	1B
142	1984-04-27	13:53:00		14:11:00		16:03:00	D	S08	E07	1B
143	1984-04-28	06:35:00		06:35:00		06:38:00		S10	W13	SF
144	1984-05-02	07:43:00		07:46:00		08:05:00		S12	W47	SN
145	1984-05-02	11:36:00		11:40:00		11:52:00		S13	W34	SN
146	1984-05-02	11:48:00		11:52:00		12:33:00		S15	W64	SN
147	1984-05-02	11:56:00		12:04:00		13:06:00		S13	W50	1F
148	1984-05-03	16:00:00		16:08:00		16:19:00	D	S09	W46	SF
149	1984-05-03	16:04:00		16:15:00		16:19:00	D	S11	W64	SF
150	1984-05-06	08:27:00		08:27:00		08:35:00		S04	E70	SF
151	1984-05-06	08:27:00		08:27:00		08:47:00		N07	E74	SN
152	1984-05-06	09:23:00		09:23:00		09:27:00		N08	E73	SN
153	1984-05-06	10:39:00		10:39:00		10:55:00		N09	E75	SB
154	1984-05-06	11:43:00		11:43:00		11:55:00		N09	E74	SB
155	1984-05-06	14:33:00		14:33:00		14:37:00		N04	E63	SF
156	1984-05-07	13:25:00		13:29:00		13:46:00		N05	E63	SF
157	1984-05-15	06:47:00	E	06:47:00	U	06:54:00		N05	W35	SF
158	1984-05-16	13:29:00		13:29:00		13:52:00	D	S11	E50	1N
159	1984-05-18	07:31:00		07:35:00	U	07:35:00	D	S11	E80	SN
160	1984-05-19	16:18:00		16:18:00		16:18:00		S13	E09	SF
161	1984-05-20	08:13:00		08:13:00		08:21:00		S08	E68	SF
162	1984-05-20	08:59:00		09:07:00		09:11:00		S10	E57	SF
163	1984-05-20	09:50:00		09:54:00		09:58:00		S10	E58	SN
164	1984-05-20	12:34:00		12:34:00		12:38:00		S11	E57	SN
165	1984-05-24	07:02:00		07:02:00	U	07:02:00	D	S09	W01	SF
166	1984-05-24	08:34:00		08:34:00		08:50:00		S12	E19	SN
167	1984-05-26	08:45:00		08:45:00		08:57:00		S14	E72	SN
168	1984-05-31	08:49:00	E	08:49:00	U	09:09:00		N23	E23	SB
169	1984-05-31	09:21:00		09:26:00		09:33:00	D	S10	E09	SB
170	1984-06-01	06:46:00		06:50:00		07:10:00		N21	E10	SN
171	1984-06-02	12:54:00		13:01:00		13:17:00		S10	W18	SN
172	1984-06-03	08:21:00		08:41:00		09:13:00		S17	W27	SN
173	1984-06-14	10:01:00		10:04:00		10:17:00		S06	E54	SF
174	1984-06-15	07:58:00		08:02:00		08:06:00		S10	E39	SF
175	1984-06-15	08:17:00		08:20:00		08:24:00	D	S08	E44	SF
176	1984-06-19	06:58:00		06:58:00		07:02:00		S09	W06	SF
177	1984-06-23	06:26:00		06:30:00		06:46:00		S15	E07	SN
178	1984-06-23	07:33:00		07:37:00		08:01:00		S06	W62	SF
179	1984-07-08	07:01:00		07:01:00		07:09:00		S10	E10	SF
180	1984-07-08	10:35:00		10:35:00		10:43:00		S10	E08	SF
181	1984-07-08	12:19:00		12:23:00		12:26:00		S11	E08	SF
182	1984-07-08	15:05:00		15:05:00		15:09:00		N13	W45	SF
183	1984-07-10	06:43:00	E	06:43:00	U	06:57:00		S05	W04	SF
184	1984-07-10	08:24:00		08:24:00		08:26:00		S09	W10	SF
185	1984-07-10	08:38:00		08:38:00		08:42:00		S10	W12	SF
186	1984-07-11	09:02:00		09:02:00		09:14:00		S13	E76	SN
187	1984-07-11	09:45:00		09:45:00		09:53:00		S07	W25	SN
188	1984-07-12	13:05:00		13:05:00		13:45:00		S10	E03	SN
189	1984-07-17	08:28:00		08:28:00		08:32:00		S07	W64	SF
190	1984-07-30	08:47:00		08:47:00		08:51:00		S17	W26	SF
191	1984-07-30	15:50:00		15:54:00		16:18:00	D	S19	W29	SN
192	1984-07-30	17:31:00		17:31:00		17:35:00		S16	W29	SF
193	1984-07-30	17:39:00		17:43:00		17:47:00	D	S19	W31	1F
194	1984-08-05	07:55:00		08:03:00		08:11:00		N07	E60	SF
195	1984-08-16	07:54:00		07:54:00		08:05:00		N09	W83	SF
196	1984-09-01	08:10:00		08:10:00		08:14:00		S08	W19	SN
197	1984-09-02	07:22:00		07:26:00		07:30:00		S06	W37	SB
198	1984-09-02	10:03:00		10:11:00		10:51:00		S07	W33	1N
199	1984-09-02	10:31:00		10:31:00		10:35:00		S05	W39	SB
200	1984-09-03	07:17:00		07:17:00		07:20:00		S07	W46	SF
201	1984-09-03	07:44:00		07:48:00		08:03:00		S12	W10	SF
202	1984-09-03	08:26:00		08:29:00		08:33:00		S11	W45	SF
203	1984-09-03	08:26:00		08:33:00		09:10:00		S11	W10	SN
204	1984-09-03	09:21:00		09:25:00		09:32:00		N05	E23	SF
205	1984-10-06	13:03:00	E	13:08:00	U	13:08:00	D	S05	E57	SB
206	1984-10-18	10:13:00		10:17:00		10:20:00		N05	E11	SF
207	1984-11-03	11:30:00		11:33:00		11:38:00		S12	W54	SF
208	1984-11-07	10:03:00		10:03:00		10:07:00		S18	E31	SF
209	1984-11-09	13:12:00		13:28:00		13:54:00	D	N16	E21	SN
210	1984-11-10	13:06:00		13:18:00		13:52:00	D	N16	E08	SN
211	1984-11-21	11:35:00	E	11:25:00	U	11:35:00	D	N17	W29	SB
212	1984-11-21	11:35:00	E	11:35:00	U	11:35:00	D	S13	E59	SB
213	1984-11-24	08:36:00		08:40:00		09:00:00		S11	E48	SN
214	1984-11-24	09:23:00		09:34:00		09:48:00		S11	E47	SF
215	1984-11-24	09:48:00		09:55:00		10:03:00		S10	E47	SN
216	1984-11-27	10:59:00	E	10:59:00	U	11:26:00	D	S09	W10	1N
217	1984-11-28	12:41:00		13:14:00		13:29:00		S11	W27	SN
218	1984-11-30	10:01:00		10:04:00		10:07:00		N07	E59	SN
219	1984-12-01	10:13:00		10:13:00		10:16:00		N18	E90	SN
220	1984-12-08	11:05:00		11:05:00		11:09:00		S11	E30	SF
221	1984-12-12	12:04:00		12:06:00		12:10:00		S11	W12	SF
222	1984-12-12	12:56:00		12:56:00		13:07:00		S11	W11	SB
223	1985-01-20	13:30:00		13:38:00		13:50:00		S10	W23	SF
224	1985-01-21	10:05:00	E	10:05:00	U	10:21:00		S11	W31	SN
225	1985-01-21	10:48:00		10:52:00		10:54:00	D	S09	W31	SB
226	1985-02-03	12:18:00		12:21:00		12:24:00		N14	W38	SF
227	1985-02-05	14:59:00		15:02:00		15:14:00		S09	E61	SN
228	1985-02-20	14:57:00		14:57:00		15:10:00		S01	E69	SN
229	1985-03-27	09:04:00		09:04:00		09:07:00	D	N04	E14	SF
230	1985-04-03	14:21:00		14:48:00		15:08:00		N06	W72	SF
231	1985-04-03	15:20:00		15:24:00		15:44:00		N07	W74	SF
232	1985-04-20	10:41:00		10:45:00		10:49:00		N04	E73	SF
233	1985-04-21	09:06:00		09:35:00		10:46:00		N05	E62	SN
234	1985-04-21	10:53:00		11:40:00		12:24:00		N05	E62	SN
235	1985-04-21	11:46:00		12:17:00		12:33:00		N03	E62	SN
236	1985-04-21	12:41:00		12:53:00		13:11:00	D	N03	E63	SN
237	1985-04-22	08:14:00		08:18:00		08:42:00		N04	E50	SB
238	1985-04-22	09:03:00		09:07:00		09:15:00		N06	E53	SN
239	1985-04-25	06:37:00		06:40:00		06:52:00		N07	E12	SF
240	1985-04-25	07:28:00		07:28:00		08:09:00		N06	E10	SN
241	1985-04-25	10:22:00		10:26:00		10:41:00		N01	E06	SF
242	1985-04-25	14:46:00		14:46:00		14:50:00		N06	E01	SF
243	1985-04-25	15:14:00		15:18:00		15:34:00		N06	E01	SN
244	1985-04-26	09:29:00		09:33:00		09:40:00		N08	W05	SF
245	1985-05-12	06:53:00		06:53:00		07:09:00	D	S22	W11	SN
246	1985-05-15	11:44:00		11:44:00		11:51:00	D	S12	W21	SN
247	1985-05-21	12:03:00		12:07:00		12:19:00		N07	E25	SF
248	1985-05-24	07:23:00		07:23:00		07:37:00		N10	W16	SF
249	1985-05-24	13:18:00		13:18:00		13:26:00		S08	W43	SF
250	1985-06-02	10:49:00		10:53:00		11:01:00		S06	E90	SB
251	1985-06-05	10:44:00		10:47:00		10:52:00		S09	E62	SF
252	1985-06-05	10:52:00		10:55:00		11:03:00		N02	E82	SN
253	1985-06-05	11:11:00		11:14:00		11:23:00		N02	E85	SF
254	1985-06-21	10:58:00	E	00:00:00		10:58:00	D	N10	W41	SF
255	1985-06-30	09:27:00		09:33:00		09:38:00		S09	E67	SF
256	1985-07-02	16:59:00		17:03:00		17:28:00		S14	E61	SN
257	1985-07-03	09:37:00		09:45:00		09:56:00		S12	E54	SF
258	1985-07-03	14:03:00		14:07:00		14:24:00		S13	E53	SF
259	1985-07-03	16:12:00		16:14:00		16:33:00		S16	E54	SF
260	1985-07-03	16:17:00		16:25:00		16:45:00		S13	E51	SF
261	1985-07-08	09:55:00		10:00:00		10:11:00		S22	W16	SN
262	1985-07-08	11:25:00		11:25:00		11:35:00		S11	W13	SF
263	1985-07-09	08:10:00		08:13:00		08:17:00	D	N03	E00	SF
264	1985-07-09	11:07:00		11:10:00		11:16:00		S19	W33	SF
265	1985-07-09	12:35:00		12:39:00		12:43:00		N05	E00	SF
266	1985-07-11	07:46:00		07:50:00		07:54:00		S07	W64	SF
267	1985-07-12	05:19:00	E	05:30:00		06:25:00		S18	W63	SF
268	1985-09-12	11:23:00		11:23:00		11:28:00		S11	E90	SF
269	1985-09-12	14:18:00		14:18:00	U	14:26:00	D	S11	E90	SF
270	1985-09-15	07:34:00		07:38:00		07:58:00		S12	E56	1N
271	1985-09-18	12:56:00		12:56:00		12:56:00		S12	E09	SF
272	1985-09-18	13:07:00		13:07:00		13:10:00		S10	E00	SF
273	1985-09-18	13:19:00		13:19:00		13:27:00		S10	E00	SF
274	1985-10-17	10:17:00		10:17:00		10:17:00		N04	E59	SF
275	1985-10-23	14:31:00		14:45:00	U	14:49:00	D	N04	W19	1F
276	1985-10-24	08:27:00		09:03:00		09:40:00		N04	W28	SN
277	1985-10-24	10:35:00		10:35:00		10:52:00		N02	W19	SF
278	1985-10-24	10:52:00		10:56:00		11:24:00		N08	W29	SF
279	1985-10-24	11:53:00		11:53:00		12:01:00		N07	W30	SB
280	1985-10-25	12:06:00		12:06:00		12:19:00		N02	W37	SN
281	1985-10-27	07:07:00	E	07:19:00		07:33:00		N03	W72	SF
282	1985-10-27	07:25:00		07:29:00		07:33:00		N04	W57	SF
283	1985-10-27	14:32:00		14:32:00		14:36:00		N03	W73	SF
284	1986-01-13	10:30:00		10:34:00		10:38:00		S13	W44	SF
285	1986-01-14	10:04:00		10:04:00		10:11:00		S11	W59	SF
286	1986-01-14	10:51:00		10:51:00		10:55:00		S11	W59	SF
287	1986-01-14	11:15:00		11:15:00		11:18:00		S11	W59	SF
288	1986-01-14	11:50:00		11:54:00		12:02:00		S13	W58	SF
289	1986-01-14	12:18:00		12:22:00		12:26:00		S12	W57	SF
290	1986-01-14	13:42:00		13:46:00		13:58:00		S13	W58	SF
291	1986-01-15	08:11:00	E	00:00:00		08:11:00	D	S12	W70	1N
292	1986-02-12	09:10:00		09:14:00		09:18:00		N01	W52	SN
293	1986-02-12	09:57:00		09:57:00		10:00:00		N01	W53	SF
294	1986-02-12	10:40:00		10:44:00		10:52:00		N01	W53	SF
295	1986-02-12	11:00:00		11:00:00		11:08:00		N02	W55	SN
296	1986-02-14	09:15:00	E	09:23:00		10:21:00		S01	W76	1N
297	1986-04-14	10:40:00		10:44:00		10:48:00		S12	W01	SF
298	1986-04-24	14:05:00		14:18:00		14:58:00		N04	W02	1N
299	1986-04-24	16:28:00		16:28:00		16:39:00		N03	W03	SF
300	1986-05-25	08:19:00		08:22:00		08:30:00		N09	W08	SN
301	1986-05-25	15:18:00		15:18:00		15:30:00		N09	W10	SN
302	1986-05-25	15:34:00		15:34:00		16:00:00		N09	W10	SN
303	1986-05-26	07:49:00		07:49:00		08:04:00		N10	W17	SF
304	1986-05-26	16:43:00		16:43:00		16:51:00		N09	W26	SF
305	1986-07-15	10:41:00		10:45:00		10:52:00		N10	E77	SB
306	1986-07-29	07:16:00		07:20:00		07:28:00		N08	E61	SF
307	1986-07-29	08:48:00		08:52:00		08:56:00		N11	E54	SF
308	1986-08-03	13:11:00	E	13:11:00	U	13:14:00		N07	W12	SF
309	1986-09-06	13:40:00		13:40:00		13:48:00		N28	E43	SF
310	1986-09-06	14:53:00		15:01:00		15:12:00		N28	E43	SF
311	1986-09-06	16:36:00		00:00:00		16:36:00	D	N28	E43	SF
312	1986-09-07	12:35:00		12:35:00		12:46:00		N28	E33	SF
313	1986-09-14	12:11:00		12:15:00		12:21:00		N02	W76	SF
314	1986-10-02	14:08:00		14:08:00		14:15:00		N32	E51	SF
315	1986-10-06	09:46:00		09:54:00		10:02:00		N34	E03	SF
316	1986-10-06	10:20:00		10:20:00		10:31:00		N34	E03	SF
317	1986-10-11	14:05:00		14:09:00		14:17:00		N33	W65	SF
318	1986-10-17	13:28:00		13:28:00		13:35:00		N20	E72	SN
319	1986-10-18	12:17:00		12:17:00		12:27:00		N19	E65	SN
320	1986-10-18	12:48:00		12:48:00		12:52:00		N22	E64	SB
321	1986-10-21	08:41:00		08:49:00		09:10:00		N25	E33	SN
322	1986-11-02	07:35:00		07:35:00		07:42:00		N02	E16	SB
323	1986-11-04	07:07:00	E	07:07:00	U	07:40:00		N03	W11	SN
324	1986-11-04	11:03:00		11:03:00		11:07:00		N01	W14	SF
325	1986-11-04	11:33:00		11:37:00		11:40:00		N01	W13	SF
326	1986-11-04	13:12:00		13:12:00		13:16:00		N02	W15	SF
327	1986-11-05	12:15:00		12:15:00		12:21:00		N00	W27	SF
328	1986-11-06	08:36:00	E	00:00:00		08:44:00		N02	W37	SF
329	1986-11-15	11:39:00		11:46:00		11:58:00		N22	E66	SF
330	1986-11-17	08:11:00		08:11:00		08:26:00		N25	E50	SF
331	1986-11-20	08:57:00		09:15:00		09:59:00		N24	E07	1F
332	1986-11-28	11:55:00		11:58:00		12:09:00		S04	E24	SN
333	1987-01-01	13:03:00		13:03:00		13:06:00		N07	E17	SF
334	1987-01-21	13:32:00		13:32:00		13:47:00		S28	W04	SF
335	1987-01-22	08:03:00		08:07:00		08:25:00	D	S25	W12	SN
336	1987-04-05	12:27:00		12:27:00		12:42:00		S25	E54	SN
337	1987-04-05	13:42:00		13:46:00		13:53:00		S23	E54	SN
338	1987-04-06	07:40:00	E	00:00:00		07:50:00		S24	E42	SF
339	1987-04-06	09:42:00	E	09:50:00		10:00:00	D	S23	E41	SF
340	1987-04-07	09:41:00		09:48:00		09:58:00		S29	E69	SN
341	1987-04-07	10:33:00	E	10:33:00	U	10:41:00		S35	E67	SN
342	1987-04-07	12:29:00		12:29:00		12:36:00		S33	E65	SF
343	1987-04-07	13:41:00		13:41:00		13:44:00		S36	E71	SF
344	1987-04-12	07:36:00		07:40:00		07:41:00	D	S06	E18	SF
345	1987-04-12	09:57:00		09:57:00		10:04:00		S33	E11	SN
346	1987-04-12	10:18:00		10:18:00		10:29:00		S33	E12	SF
347	1987-04-12	12:49:00		12:53:00		13:05:00		S07	E14	SF
348	1987-04-15	11:40:00	E	00:00:00		12:48:00	D	S32	W35	1N
349	1987-04-18	13:57:00		13:57:00		14:19:00		S31	W67	SB
350	1987-04-18	15:31:00		15:35:00		15:42:00		S30	W71	SN
351	1987-04-24	07:37:00		07:37:00		07:41:00		N28	W49	SB
352	1987-04-30	07:25:00		07:29:00		07:42:00		N01	W35	SF
353	1987-05-07	13:05:00		13:05:00		13:13:00		S30	E41	SF
354	1987-05-07	13:32:00		13:32:00		13:40:00		S31	E40	SF
355	1987-05-19	06:44:00		06:46:00		06:56:00		N23	E27	SF
356	1987-05-19	07:23:00		07:27:00		07:34:00		N29	E32	SF
357	1987-05-19	13:50:00		13:50:00		13:52:00		N30	E30	SF
358	1987-05-21	15:52:00		15:55:00		16:10:00		N26	W06	SF
359	1987-05-22	05:59:00		06:03:00		06:13:00		N24	W08	SN
360	1987-05-24	08:50:00		08:50:00		09:16:00	D	N25	W40	SN
361	1987-05-24	09:05:00		09:08:00		09:12:00		N33	W31	SB
362	1987-05-24	09:08:00		09:08:00		09:16:00	D	N30	W38	SN
363	1987-05-25	07:26:00		07:29:00		07:35:00		N31	W50	SF
364	1987-05-26	05:57:00		06:00:00		06:04:00		N24	W60	SF
365	1987-05-26	06:08:00		06:12:00		06:19:00		N28	W63	SF
366	1987-05-26	07:35:00		07:35:00		07:39:00		N26	W60	SF
367	1987-05-26	07:43:00		07:43:00		07:51:00		N31	W64	SF
368	1987-05-26	15:54:00		15:58:00		16:02:00		N25	W66	SF
369	1987-06-14	08:47:00		08:47:00		08:51:00		N31	E52	SF
370	1987-06-25	11:41:00		11:41:00		12:05:00		N16	W24	SF
371	1987-06-26	07:11:00		07:18:00		07:28:00		N17	W32	SF
372	1987-06-26	06:17:00	E	06:17:00	U	06:42:00		N17	W32	SF
373	1987-06-28	06:58:00		06:58:00		07:13:00		N29	E52	SF
374	1987-06-28	07:21:00		07:25:00		08:16:00	D	N31	E52	SF
375	1987-07-22	12:04:00		12:04:00		12:20:00		S22	E60	SF
376	1987-07-22	12:40:00		12:40:00		12:49:00		S22	E60	SF
377	1987-07-22	15:23:00		15:27:00		15:55:00		S30	W13	SF
378	1987-07-22	16:45:00		16:47:00		16:57:00		S30	W11	SN
379	1987-07-22	16:49:00		16:49:00		16:53:00		S22	E55	SF
380	1987-07-22	17:01:00		17:01:00		17:05:00	D	S22	E55	SF
381	1987-07-23	07:15:00		07:15:00		07:30:00		S30	W21	SN
