flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type	area	disk_movie	area_movie
9996	2014-04-04	13:34:00		13:39:00		13:44:00		S14	W37	SF	40	20140404_1324-1407_big.avi\n	
9997	2014-04-04	13:34:00		13:46:00		14:33:00		N14	E26	2N	350	20140404_1324-1407_big.avi\n	
9998	2014-04-05	09:54:00	B	09:54:00	U	09:54:00		S16	W48	SF	50	\n	
9999	2014-04-06	09:29:00		09:36:00		09:46:00		N03	W15	SF	15	\n	
10000	2014-04-07	05:59:00	B	06:32:00		07:33:00		S13	W19	1N	200	20140407_0547-0737_big.avi\n	
10001	2014-04-07	08:12:00		08:13:00		08:23:00		S12	W20	SF	20	\n	
10002	2014-04-07	13:16:00		13:36:00		14:56:00		S11	W23	1F	115	\n	
10003	2014-04-08	08:06:00		08:10:00		08:18:00		S09	W25	SF	5	\n	
10004	2014-04-09	11:01:00		11:02:00		11:06:00		N15	E62	SF	25	\n	
10005	2014-04-11	09:28:00	B	09:30:00		09:40:00		S08	W63	SF	40	\n	
10006	2014-04-14	05:44:00	B	05:46:00	U	05:55:00		S17	E23	SF	55	\n	
10007	2014-04-14	06:03:00		06:06:00		06:20:00		S17	E21	SF	45	\n	
10008	2014-04-14	06:42:00		07:15:00		07:59:00		S17	E21	SF	75	20140414_0659-0724_big.avi\n	
10009	2014-04-14	08:54:00		08:59:00		09:50:00		S17	E21	SN	75	20140414_0845-0948_big.avi\n	
10010	2014-04-14	10:50:00		10:53:00		11:50:00		S17	E20	SN	75	20140414_1048-1123_big.avi\n	
10011	2014-04-14	12:17:00		12:23:00		12:45:00		S17	E18	SN	90	20140414_1208-1300_big.avi\n	
10012	2014-04-14	12:43:00		12:44:00		13:02:00		N15	E45	SF	25	20140414_1208-1300_big.avi\n	
10013	2014-04-14	13:14:00		13:16:00		13:36:00		N15	E46	SF	30	\n	
10014	2014-04-15	06:34:00	B	06:47:00	U	06:47:00		S17	E09	1N	140	20140415_0622-0700_big.avi\n	
10015	2014-04-15	08:55:00		08:57:00		09:01:00		S17	E07	SF	85	20140415_0845-0904_big.avi\n	
10016	2014-04-15	09:16:00	B	09:24:00		09:36:00		S15	E25	SN	80	20140415_0905-0935_big.avi\n	
10017	2014-04-15	09:45:00		10:08:00		10:22:00		S17	E05	1F	120	20140415_0943-1010_big.avi\n	
10018	2014-04-15	12:36:00		12:37:00	U	12:37:00		S14	E23	SF	60	20140415_1224-1248_big.avi\n	
10019	2014-04-15	14:23:00		14:35:00		14:38:00		S09	E06	SF	20	20140415_1426-1438_big.avi\n	
10020	2014-04-15	14:33:00		14:36:00		14:40:00		S16	E22	SF	25	20140415_1426-1438_big.avi\n	
10021	2014-04-15	15:45:00		15:48:00		16:04:00		S16	E02	SF	30	\n	
10022	2014-04-16	05:54:00	U	05:57:00	U	06:30:00		N19	E76	SF	25	20140416_0545-0613_big.avi\n	
10023	2014-04-16	06:38:00		06:45:00		06:52:00		S16	E12	SF	60	20140416_0633-0647_big.avi\n	
10024	2014-04-16	06:47:00		06:47:00		07:02:00		S17	W02	SF	35	\n	
10025	2014-04-16	07:11:00		07:13:00		07:21:00		N19	E75	SF	45	20140416_0709-0725_big.avi\n	
10026	2014-04-16	07:20:00		07:22:00		07:44:00		N02	W02	SF	75	20140416_0709-0725_big.avi\n	
10027	2014-04-16	07:58:00		07:59:00		08:02:00		S17	W03	SF	40	\n	
10028	2014-04-16	08:13:00		08:15:00		08:23:00		N03	W01	1N	120	20140416_0802-0825_big.avi\n	
10029	2014-04-16	08:36:00	B	08:41:00		09:10:00		S13	E14	SF	40	20140416_0826-0858_big.avi\n	
10030	2014-04-16	10:52:00	B	10:52:00	U	10:52:00		S15	E10	SF	40	\n	
10031	2014-04-17	06:05:00	B	06:07:00		06:21:00		S14	E02	SN	45	20140417_0552-0619_big.avi\n	
10032	2014-04-17	08:19:00	B	08:22:00		08:28:00		S16	E09	SF	25	\n	
10033	2014-04-17	09:51:00		09:57:00		10:41:00		S14	E01	SF	75	\n	
10034	2014-04-17	11:40:00		11:49:00		13:18:00		S16	E07	SF	75	20140417_1135-1207_big.avi\n	
10035	2014-04-17	11:44:00		11:59:00		13:00:00		S09	W16	SF	90	20140417_1135-1207_big.avi\n	
10036	2014-04-18	07:01:00		07:03:00		07:22:00		S23	W40	SF	35	\n	
10037	2014-04-18	08:02:00		08:08:00		08:35:00		S16	W29	1N	110	20140418_0753-0824_big.avi\n	
10038	2014-04-18	08:02:00		08:08:00		08:25:00		S15	W02	SF	25	20140418_0753-0824_big.avi\n	
10039	2014-04-18	08:58:00		08:59:00		09:15:00		S22	E16	SF	10	\n	
10040	2014-04-22	05:44:00	B	05:45:00	U	06:45:00		S13	W22	1F	175	20140422_0515-0606_big.avi\n	
10041	2014-04-22	06:15:00		06:16:00		06:22:00		S22	E50	SF	25	20140422_0605-0623_big.avi\n	
10042	2014-04-22	08:00:00		08:01:00		08:05:00		S13	W66	SF	70	\n	
10043	2014-04-22	08:46:00		08:48:00		09:01:00		S10	W26	SN	75	20140422_0834-0856_big.avi\n	
10044	2014-04-22	11:33:00		11:37:00		11:44:00		S09	W66	SN	80	20140422_1119-1149_big.avi\n	
10045	2014-04-30	06:11:00	B	06:19:00		06:38:00		S06	E43	SN	75	20140430_0605-0636_big.avi\n	
10046	2014-04-30	07:25:00		07:49:00		07:50:00		S04	E41	SF	30	\n	
10047	2014-04-30	08:10:00		08:13:00		08:23:00		S05	E42	SF	30	\n	
10048	2014-04-30	10:09:00	B	10:09:00	U	10:09:00		S06	E41	SF	15	20140430_0959-1033_big.avi\n	
10049	2014-04-30	12:17:00		12:25:00		12:50:00		S06	E40	SF	25	\n	
10050	2014-04-30	13:37:00	B	13:39:00		13:44:00		S16	E04	SF	50	20140430_1328-1342_big.avi\n	
10051	2014-04-30	13:41:00		13:48:00		14:03:00		S06	E39	SF	45	20140430_1335-1354_big.avi\n	
10052	2014-05-01	07:10:00		07:10:00		07:14:00		S07	E31	SF	20	\n	
10053	2014-05-02	08:01:00		08:03:00		08:18:00		S17	W19	SF	60	20140502_0752-0815_big.avi\n	
10054	2014-05-02	09:17:00		09:23:00		10:19:00		S19	W16	1N	120	20140502_0907-1001_big.avi\n	
10055	2014-05-02	14:04:00		14:06:00		14:20:00		S20	W21	SF	60	\n	
10056	2014-05-04	09:02:00		09:03:00		09:18:00		S10	W55	SF	80	\n	
10057	2014-05-04	12:18:00		12:30:00		13:02:00		S10	W55	SN	90	\n	
10058	2014-05-04	12:21:00		12:22:00		12:26:00		S07	W11	SF	25	\n	
10059	2014-05-04	14:34:00		14:36:00		14:39:00		S07	W12	SF	15	\n	
10060	2014-05-04	15:55:00		16:01:00		16:06:00		S07	W13	SF	60	\n	
10061	2014-05-05	06:26:00		06:28:00		06:32:00		S07	W21	SF	15	\n	
10062	2014-05-05	08:38:00		08:40:00		08:48:00		N10	E35	SF	10	\n	
10063	2014-05-05	12:31:00		12:35:00		12:44:00		N10	E32	SF	30	\n	
10064	2014-05-05	16:06:00		16:09:00		16:23:00		N10	E31	SF	30	\n	
10065	2014-05-06	08:52:00		09:05:00		09:30:00		S13	W79	SF	80	20140506_0831-0937_big.avi\n	
10066	2014-05-06	10:42:00		10:42:00		10:53:00		N11	E58	SF	30	20140506_1031-1045_big.avi\n	
10067	2014-05-06	13:22:00		13:22:00		13:25:00		N10	E66	SF	20	\n	
10068	2014-05-08	05:25:00		05:25:00		05:30:00		N08	E54	SF	20	\n	
10069	2014-05-08	07:35:00		07:36:00		07:41:00		N12	E40	SF	15	20140508_0725-0743_big.avi\n	
10070	2014-05-08	09:16:00		09:18:00		09:45:00		S14	E82	SF	70	\n	
10071	2014-05-08	10:18:00	B	10:19:00	B	11:23:00		N05	E54	2B	350	20140508_0934-1125_big.avi\n	
10072	2014-05-09	07:54:00	B	07:55:00	U	07:56:00		N05	E41	SF	15	\n	
10073	2014-05-09	08:16:00		08:21:00		08:30:00		S14	E71	SF	25	20140509_0804-0836_big.avi\n	
10074	2014-05-09	09:06:00		09:06:00		09:13:00		N05	E38	SF	15	20140509_0856-0914_big.avi\n	
10075	2014-05-09	09:37:00		09:43:00		10:09:00		N14	E24	SF	20	\n	
10076	2014-05-09	11:16:00		11:17:00		11:27:00		S14	E69	SF	25	20140509_1107-1125_big.avi\n	
10077	2014-05-09	11:44:00		11:48:00		12:10:00		N12	E23	SN	25	20140509_1136-1205_big.avi\n	
10078	2014-05-09	12:48:00		12:58:00		13:05:00		S13	E70	SN	30	20140509_1238-1309_big.avi\n	
10079	2014-05-09	13:17:00	U	13:28:00		13:33:00		N04	E36	SF	25	20140509_1315-1332_big.avi\n	
10080	2014-05-10	05:58:00	B	06:01:00	U	06:27:00		N10	E16	1F	110	20140510_0526-0625_big.avi\n	
10081	2014-05-10	06:51:00		07:01:00		08:02:00		N03	E27	2N	335	20140510_0640-0809_big.avi\n	
