
SXT PFI file (at ISAS);SXT flare mode data;TRACE data
Date;t<sub>st_sx</sub>;t<sub>en_sx</sub>;GOES;N<sub>img</sub>;X<sub>c</sub>;Y<sub>c</sub>;t<sub>st</sub>;t<sub>en</sub>;t<sub>cl</sub>;WL<sub>dom</sub>;X<sub>c</sub>;Y<sub>c</sub>;N<sub>171</sub>;N<sub>195</sub>;N<sub>284</sub>;N<sub>1600</sub>;N<sub>1216</sub>;N<sub>WL</sub>
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980714.1224.gif">f1/9807/spr980714.1224</a>;14-JUL-98;13:01:15;13:14:01;M3.6;167;-307.6;-397.8;12:31:40;13:42:51;13:01:17;1600 A;-285.0;-364.0;59;58;0;61;0;2
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980813.0927.gif">f1/9808/spr980813.0927</a>;13-AUG-98;10:15:38;10:25:30;C1.6;146;-104.5;152.3;09:52:23;10:55:09;10:15:52;171 A;14.0;308.0;51;0;50;6;0;0
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980813.1919.gif">f1/9808/spr980813.1919</a>;13-AUG-98;19:24:04;19:33:50;C1.9;89;125.1;328.1;18:59:52;20:02:44;19:24:12;171 A;108.0;290.0;52;0;52;5;0;1
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980819.0930.gif">f1/9808/spr980819.0930</a>;19-AUG-98;10:15:57;10:34:41;C5.9;167;-816.5;504.7;10:16:12;11:03:59;10:16:12;1216 A;-703.0;401.0;38;38;1;1;49;1
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980820.0004.gif">f1/9808/spr980820.0004</a>;20-AUG-98;00:26:43;01:09:05;C5.8;194;-782.1;547.4;01:10:24;01:35:56;01:10:24;171 A;-797.0;371.0;87;0;0;5;5;21
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980830.0434.gif">f1/9808/spr980830.0434</a>;30-AUG-98;05:15:07;05:38:39;NoGOES;321;454.9;203.7;04:45:15;06:08:20;04:57:31;171 A;438.0;179.0;217;0;0;124;0;0
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980830.1239.gif">f1/9808/spr980830.1239</a>;30-AUG-98;13:28:21;13:38:11;NoGOES;149;523.8;211.7;12:58:43;14:08:03;13:28:03;171 A;499.0;202.0;105;0;0;0;105;3
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980830.1554.gif">f1/9808/spr980830.1554</a>;30-AUG-98;16:45:11;16:55:01;NoGOES;151;555.5;209.7;16:15:13;17:24:33;16:45:13;1216 A;509.0;184.0;87;0;0;0;105;2
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980831.1748.gif">f1/9808/spr980831.1748</a>;31-AUG-98;18:04:19;18:42:27;NoGOES;224;718.6;223.2;17:34:20;19:12:19;18:04:19;1600 A;678.0;239.0;354;0;0;675;0;6
<a href="http://www.lmsal.com/nitta/sxt_trace_flares/gif/lc980901.1942.gif">f1/9809/spr980901.1942</a>;1-SEP-98;20:23:38;20:29:34;C4.1;81;-482.6;-474.9;19:53:56;20:58:56;20:23:56;1600 A;-400.0;-431.0;6;0;0;66;0;0
