1985/01/22 04:15:00	1985/01/22 05:50:00	4617	-08	38	14		1985/01/21 23:50:00	X4	2b
1985/04/25 14:30:00	1985/04/26 06:00:00	4647	06	-27	160		1985/04/24 09:35:00	X1	3b
1985/07/09 02:35:00	1985/07/09 03:25:00	4671	-16	36	140		1985/07/09 02:04:00	M2	1b
1986/02/06 09:25:00	1986/02/07 17:30:00	4711	-04	06	130		1986/02/06 06:25:00	X1	3b
1986/02/14 11:55:00	1986/02/15 04:00:00	4713	01	76	130		1986/02/14 09:29:00	M6	1b
1986/03/06 18:35:00	1986/03/06 19:30:00	4717	02	-01	21		1986/03/06 17:03:00	C4	1f
1986/05/04 12:55:00	1986/05/04 13:20:00	4717	06	90	16		1986/05/04 10:07:00	M1	??
1987/11/08 02:00:00	1987/11/08 09:40:00	4875	31	90	120		1987/11/07 20:14:00	M1	??
1988/01/02 23:25:00	1988/01/03 08:35:00	4912	-34	18	92		1988/01/02 21:45:00	X1	3b
1988/03/25 22:25:00	1988/03/25 23:30:00	4965	22	90	58		1988/03/25 21:45:00	EPL	\N
1988/06/30 10:55:00	1988/06/30 11:40:00	5060	-16	-22	21		1988/06/30 09:06:00	M9	2b
1988/08/26 00:00:00	1988/08/26 00:45:00	5125	24	-90	42		1988/08/23 18:04:00	M2	epl
1988/10/12 09:20:00	1988/10/12 09:30:00	5175	-20	66	12		1988/10/12 05:11:00	X2	2n
1988/11/08 22:25:00	1988/11/09 06:35:00	5212	-17	47	13		1988/11/07 11:05:00	M3	1n
1988/11/14 01:30:00	1988/11/14 02:35:00	5227	-23	27	13		1988/11/13 23:09:00	M3	1n
1988/12/17 06:10:00	1988/12/17 08:55:00	5278	27	-59	18		1988/12/15 05:05:00	X1	1n
1988/12/17 20:00:00	1988/12/18 01:50:00	5278	26	-37	29		1988/12/16 08:41:00	X4	1b
1989/01/04 23:05:00	1989/01/05 01:30:00	5303	-20	60	28		1989/01/04 17:53:00	M4	1n
1989/03/08 17:35:00	1989/03/13 06:45:00	5395	35	-69	3500		1989/03/06 14:05:00	X15	3b
1989/03/17 18:55:00	1989/03/18 09:20:00	5395	33	60	2000		1989/03/17 17:44:00	X6	2b
1989/03/23 20:40:00	1989/03/24 01:10:00	5409	18	28	53		1989/03/23 19:48:00	X1	3b
1989/04/11 14:35:00	1989/04/12 01:25:00	5441	35	-29	450		1989/04/09 01:05:00	X3	4b
1989/05/05 09:05:00	1989/05/05 10:00:00	5464	-20	36	27		1989/05/04 11:15:00	M5	2n
1989/05/06 02:35:00	1989/05/06 10:45:00	5470	30	-01	110		1989/05/05 07:37:00	X2	3b
1989/05/23 11:35:00	1989/05/23 13:50:00	0	\N	\N	68		\N	\N	\N
1989/05/24 07:30:00	1989/05/24 09:05:00	5497	-21	-16	15		1989/05/22 00:37:00	M5	2b
1989/06/18 16:50:00	1989/06/18 19:10:00	5534	12	31	18		1989/06/18 14:47:00	C4	0f
1989/06/30 06:55:00	1989/06/30 07:10:00	5555	26	60	17		1989/06/29 21:27:00	M3	2b
1989/07/01 06:55:00	1989/07/01 07:20:00	0	\N	\N	17		\N	\N	\N
1989/07/25 09:00:00	1989/07/25 12:25:00	5603	25	84	54		1989/07/25 08:44:00	X2	2n
1989/08/12 16:00:00	1989/08/13 07:10:00	5629	-16	37	9200		1989/08/12 14:27:00	X2	2b
1989/09/04 01:20:00	1989/09/04 05:10:00	5669	-18	-16	44		1989/09/03 14:32:00	X1	1b
1989/09/12 19:35:00	1989/09/13 08:25:00	5669	-18	79	57		1989/09/12 08:14:00	M5	epl
