,Date,Quality Rating, Source Loc.,,Previous Image Time,Image Time,Speed,,Direction of Meas.
,,,N/S,E/W,,,Plane-of-Sky,Projected,
,,,,,,,,,
51,19-Sep-97,Q1,-21,90,09:24:51,09:41:51,,,N
,,,,,,09:58:51,156,off limb,
52,20-Sep-97,Q4,-16,90,09:41:46,09:58:47,,,N
,,,,,,10:15:46,144,off limb,
,,,,,,10:32:47,214,off limb,
53,22-Sep-97,Q0,-25,-87,00:48:58,01:12:20,,,N
54,23-Sep-97,Q2,-28,-25,21:23:53,21:40:46,,,N
,,,,,,21:58:33,193,off limb,
,,,,,,22:18:09,262,off limb,
55,24-Sep-97,Q5 S,-28,-22,02:33,02:49:21, , ,W
,,,,,,03:03:41,298,410,
,,,,,,03:23:41,239,264,
56,24-Sep-97,Q4 S,-29,-19,10:46:03,11:06:40, , ,W 
,,,,,,11:29:45,315,325,
,,,,,,11:39:29,211,251,
57,24-Sep-97,Q4 S,-28,-13,18:30:31,18:47:33,,,NW
,,,,,,19:11:05,192,216,
58,25-Sep-97,Q1,-28,-3,11:39:54,11:56:54,,,N
,,,,,,12:13:56,184,187,
59,28-Sep-97,Q4,-26,-90,14:00:33,14:10:45,,,N
,,,,,,14:19:38,363,off limb,
,,,,,,14:29:49,163,off limb,
,,,,,,14:41:35,506,off limb,
60,01-Oct-97,Q1,22,-90,07:56:39,08:13:47,,,S
,,,,,,08:30:53,84,off limb,
,,,,,,08:47:40,261,off limb,
61,01-Oct-97,Q2,23,-46,14:47:39,15:21:39,,,S
,,,,,,15:38:38,56,off limb,
,,,,,,15:56:08,36,off limb,
62,01-Oct-97,Q1,22,-82,16:12:45,16:29:39,,,S
,,,,,,16:43:06,131,off limb,
,,,,,,17:12:24,87,off limb,
63,03-Oct-97,Q3,15,-90,04:54:06,05:12:32,,,S
,,,,,,05:26:04,49,off limb,
,,,,,,05:35:14,206,off limb,
,,,,,,05:54:13,121,off limb,
64,03-Oct-97,Q2,23,-64,11:54:17,12:14:36,,,S
,,,,,,12:29:29,108,109,
65,06-Oct-97,Q0,-39,85,09:42:03,10:07:37,,,N
,,,,,,10:22:38,169,off limb,
66,09-Oct-97,Q3,24,-37,11:42:05,11:56:53,,,N
,,,,,,12:19:18,149,267,
67,10-Oct-97,Q1,24,-28,03:23:22,03:43:27,,,E
,,,,,,04:00:52,85,102,
68,11-Oct-97,Q4,26,-12,08:30:39,08:47:41,,,S
,,,,,,09:04:40,123,123,
,,,,,,09:21:47,126,128,
69,12-Oct-97,Q4,-29,90,05:36:09,05:54:53,,,N
,,,,,,06:11:39,214,off limb,
,,,,,,06:28:40,275,off limb,
,,,,,,06:46:21,254,off limb,
70,20-Oct-97,Q2,13,8,06:31:59,06:44:42,,,S
,,,,,,07:00:06,149,150,
71,21-Oct-97,Q5,17,-7,16:18:36,17:34:51,,,S
,,,,,,17:45:14,312,322,
,,,,,,17:57:54,60,67,
,,,,,,18:12:47,211,262,
,,,,,,18:23:10,173,293,
72,23-Oct-97,Q4,26,-6,13:14:38,13:29:28,,,S
,,,,,,13:40:22,46,46,
,,,,,,13:53:03,207,210,
,,,,,,14:07:54,120,133,
,,,,,,14:18:16,219,282,
73,25-Oct-97,Q1,13,0,07:45:15,07:57:53,,,S
,,,,,,08:12:43,93,96,
74,29-Oct-97,Q1,34,8,07:21:53,07:38:48,,,N
,,,,,,07:55:49,46,64,
,,,,,,08:12:41,63,97,
75,02-Nov-97,Q1,-17,1,02:49:45,03:08:51,,,NE
,,,,,,03:25:09,174,177,
76,03-Nov-97,Q0,-18,16,04:31:54,05:02:19,,,N
,Note: only one wavefront is shown in diagram;  wavefronts are very inhomogeneous ,,,,,05:19:04,see note,,
,,,,,,05:31:16,,,
77,03-Nov-97,Q3,-18,18,08:46:59,09:11:29,,,N
,,,,,,09:33:18,206,208,
78,03-Nov-97,Q3,-18,18,10:21:14,10:31:45,,,N
,,,,,,10:48:46,252,258,
79,04-Nov-97,Q1,-18,29,05:57:01,06:13:54,,,N
,,,,,,06:30:55,211,277,
80,06-Nov-97,Q2 S,-19,61,11:39:00,11:58:53,,,E
,,,,,,12:12:56,445,482,
,,,,,,12:46:49,114,115,
81,14-Nov-97,Q1,20,-81,09:34:17,09:50:53,,,S
,,,,,,10:08:04,33,off limb,
