flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type	area	disk_movie	area_movie
8966	2013-01-07	08:46:00		08:49:00		08:51:00		N30	W73	SF	0	20130107_11640_0834_big.avi	
8967	2013-01-11	08:57:00		09:06:00		09:18:00	D	N04	E35	SN	0	20130111_11654_0833_big.avi	
8968	2013-01-12	09:36:00		09:39:00	U	09:40:00		N05	E25	SF	0	20130112_11654_0925_big.avi	
8969	2013-01-12	12:22:00	E	12:42:00	U	12:42:00	U	N09	E22	SF	0		
8970	2013-01-26	08:09:00		08:13:00		08:21:00		N11	E17	SF	0		
8971	2013-02-03	08:16:00	E	08:39:00		08:40:00		N20	E55	SF	0	20130203_11667_0803_big.avi	
8972	2013-02-03	09:46:00		09:49:00		09:57:00		N21	E51	SF	0	20130203_11667_0938_big.avi	
8973	2013-02-19	07:01:00		07:02:00		07:12:00		N13	W30	SF	0		
8974	2013-02-19	07:44:00		07:46:00		07:51:00		N11	W30	SF	0	20130219_10000_0734_big.avi	
8975	2013-02-19	11:11:00	E	11:11:00	U	11:18:00		N09	W46	SN	0		
8976	2013-03-01	10:12:00		10:14:00		10:22:00		S17	W35	SF	0	20130301_11682_1002_big.avi	
8977	2013-03-01	12:07:00		12:10:00		12:13:00		S14	E60	SF	0	20130301_11683_1157_big.avi	
8978	2013-03-03	09:04:00		09:06:00		09:12:00		S12	W22	SF	0		
8979	2013-03-03	09:20:00		09:25:00		09:27:00		S14	E36	SF	0		
8980	2013-03-05	07:51:00		07:57:00		08:12:00		S13	W53	SN	0	20130305_11686_0737_big.avi	
8981	2013-03-05	08:26:00		08:28:00		08:31:00		S13	W53	SF	0		
8982	2013-03-16	06:02:00		07:11:00		07:34:00		S18	W51	1F	0	20130316_11698_0602_big.avi	
8983	2013-03-16	07:50:00		08:33:00		09:03:00		S18	W50	SF	0	20130316_11698_0823_big.avi	
8984	2013-03-16	09:45:00		09:45:00		10:19:00		S18	W52	SF	0		
8985	2013-03-16	11:33:00		11:36:00		11:49:00		S18	W52	SF	0		
8986	2013-03-16	12:02:00		12:02:00		12:09:00		S18	W51	SF	0		
8987	2013-03-16	15:04:00		15:06:00		15:09:00		S19	W53	SF	0		
8988	2013-03-19	14:00:00		14:04:00		14:31:00	D	N13	W23	SF	0	20130319_11695_1421_big.avi	
8989	2013-03-19	14:24:00		14:28:00		14:31:00	D	N10	W52	SF	0		
8990	2013-03-23	10:05:00		10:05:00		10:09:00		S24	W64	SF	0	20130323_11703_0955_big.avi	
8991	2013-04-04	12:48:00		12:50:00		12:55:00	D	S17	E21	SF	0		
8992	2013-04-08	11:43:00		11:43:00		11:46:00		N20	E11	SF	0	20130408_11718_1133_big.avi	
8993	2013-04-09	07:17:00		07:23:00		07:33:00		N20	E03	SF	0	20130409_10000_0713_big.avi	
8994	2013-04-09	08:58:00		09:00:00		09:25:00		N19	E02	1F	0	20130409_11718_0849_big.avi	
8995	2013-04-09	08:59:00		08:59:00		09:00:00		N09	W67	SF	0	20130409_11713_0847_big.avi	
8996	2013-04-09	10:17:00		10:17:00		10:21:00		N20	E01	SF	0		
8997	2013-04-09	11:33:00		11:43:00		12:03:00	D	N20	E01	1N	0	20130409_11718_1123_big.avi	
8998	2013-04-09	13:52:00	E	13:52:00	U	13:57:00		N20	E01	SF	0		
8999	2013-04-10	05:49:00		05:50:00		06:04:00		N21	W07	SF	0		
9000	2013-04-10	08:25:00		08:26:00		08:30:00		S10	E08	SF	0		
9001	2013-04-10	09:26:00		09:30:00		09:35:00		N11	E22	SF	0		
9002	2013-04-10	09:29:00		09:30:00		09:35:00		S10	E07	SF	0		
9003	2013-04-10	15:00:00		15:05:00		15:11:00		N10	W39	SF	0		
9004	2013-04-10	15:19:00		15:22:00		15:30:00		S19	E39	SF	0		
9005	2013-04-11	06:56:00		07:08:00		09:15:00		N08	E14	3B	0	20130411_11719_0645_big.avi	
9006	2013-04-11	07:44:00		07:45:00		08:07:00	D	N19	W23	SN	0	20130411_11721_0734_big.avi	
9007	2013-04-11	09:38:00		09:38:00		09:38:00		S17	E25	SF	0		
