flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type	area	disk_movie	area_movie
20753	2015-05-12	06:47:00		06:50:00		07:05:00		N11	W06	SF	35	20150512_0638-0659_big.avi	
20752	2015-05-11	13:52:00		13:52:00		13:54:00		N12	E00	SF	20		
20751	2015-05-11	13:02:00		13:06:00	U	13:14:00		S14	W67	SF	60		
20750	2015-05-11	12:10:00		12:13:00		12:19:00		N14	E04	SF	70		
20749	2015-05-11	11:34:00		11:40:00		11:45:00		N10	E00	SF	20		
20748	2015-05-11	10:37:00		10:37:00		10:46:00		N11	E01	SF	15		
20747	2015-05-11	06:44:00		06:48:00		07:04:00		N04	W42	SF	80	20150511_0633-0712_big.avi	
20746	2015-05-11	05:18:00		05:30:00		05:45:00		N12	E04	SF	5		
20745	2015-05-10	12:46:00		12:52:00		13:42:00		N11	E12	SF	55		
20744	2015-05-10	08:17:00		08:23:00		09:05:00		N13	E21	SF	70	20150510_0810-0849_big.avi	
20743	2015-05-09	09:19:00		09:20:00	U	09:20:00	D	N14	E32	SF	35		
20742	2015-05-09	07:58:00		08:05:00	U	08:05:00	D	N14	E34	SF	70	20150509_0751-0824_big.avi	
20741	2015-05-09	07:25:00		07:28:00		07:37:00		N15	E33	SF	50		
20740	2015-05-09	06:43:00	B	06:44:00	U	06:52:00		N09	E30	SF	60		
20739	2015-05-08	13:12:00		13:14:00		13:18:00		N11	E41	SF	30		
20738	2015-05-08	12:51:00		12:55:00		13:01:00		N11	E42	SF	20		
20737	2015-05-08	09:29:00		09:40:00		09:45:00		N10	E48	SB	50	20150508_0927-0942_big.avi20150508_0927-0942_big.avi	
20736	2015-05-08	07:24:00		07:44:00		07:50:00		N14	E44	SF	36		
20735	2015-05-07	16:49:00		16:54:00		16:59:00	D	N15	E51	SN	75		
20734	2015-05-07	15:23:00		15:28:00		16:19:00		N11	E55	SF	70		
20733	2015-05-07	11:04:00		11:06:00		11:12:00		S16	E09	SF	25		
20732	2015-05-07	09:55:00		10:00:00		10:39:00		N13	E56	SN	80		
20731	2015-05-07	09:21:00		09:21:00		09:22:00		N11	E55	SF	40		
20730	2015-05-07	08:09:00		08:26:00		08:33:00		N11	E55	SN	80		
20729	2015-05-07	06:25:00		06:30:00		06:50:00		N11	E60	SF	30	20150507_0615-0659_big.avi	
20728	2015-05-07	06:17:00		06:18:00		06:24:00		S15	W06	SF	20	20150507_0615-0659_big.avi	
20727	2015-05-06	11:08:00	B	11:08:00	B	11:08:00	D	N14	E82	SF	25	20150506_1053-1123_big.avi	
20726	2015-05-06	09:14:00		09:17:00		09:21:00		N12	E70	SF	30	20150506_0905-0926_big.avi	
20725	2015-05-06	06:38:00		06:56:00		06:59:00		N14	E68	SN	30	20150506_0626-0702_big.avi	
20724	2015-05-05	13:13:00	B	13:24:00		13:55:00	D	S16	E18	SF	60	20150505_1335-1356_big.avi	
20723	2015-05-05	11:25:00	B	11:27:00		11:49:00	D	S16	E20	SN	65	20150505_1110-1218_big.avi	
20722	2015-05-05	10:13:00	B	10:17:00		10:21:00		S16	E20	SF	25	20150505_1002-1026_big.avi	
20721	2015-05-05	07:59:00		08:00:00		08:01:00		N14	E80	SF	25	20150505_0747-0805_big.avi	
20720	2015-04-25	08:28:00		08:31:00		08:38:00		S10	W37	SF	40		
20719	2015-04-25	07:23:00		07:24:00		07:26:00		S11	W36	SF	30		
20718	2015-04-25	06:56:00		06:58:00		07:05:00		S15	W38	SF	50	20150425_0656-0718_big.avi	
20717	2015-04-25	06:23:00		06:23:00		06:27:00		S11	W36	SF	20	20150425_0612-0628_big.avi	
20716	2015-04-24	07:13:00	B	07:17:00	U	07:17:00	D	S10	W24	SF	30	20150424_0547-0714_big.avi	
20715	2015-04-23	09:51:00		09:54:00		10:08:00		N09	E41	SF	80	20150423_0908-1110_big.avi	
20714	2015-04-23	08:12:00		08:16:00		08:22:00		N19	W69	SF	25	20150423_0723-0826_big.avi	
20713	2015-04-23	07:32:00		07:35:00		07:45:00		N19	W69	SF	25	20150423_0723-0826_big.avi	
20712	2015-04-22	09:17:00		09:21:00		09:23:00		N22	W38	SF	20	20150422_0906-0922_big.avi	
20711	2015-04-22	08:43:00		08:45:00		08:54:00		S08	E04	SF	35	20150422_0833-0856_big.avi	
20710	2015-04-22	08:11:00		08:13:00		08:19:00		N21	W37	SF	30	20150422_0802-0823_big.avi	
20709	2015-04-22	07:09:00		07:10:00		07:17:00	D	S08	E17	SF	70	20150422_0658-0730_big.avi	
20708	2015-04-21	09:28:00		09:30:00		09:32:00		N19	W25	SF	15		
20707	2015-04-21	08:40:00		08:40:00		08:44:00		N20	W24	SF	30	20150421_0830-0845_big.avi	
20706	2015-04-21	08:33:00		08:34:00		08:35:00		N20	W24	SF	20	20150421_0830-0845_big.avi	
20705	2015-04-20	13:35:00		13:35:00		13:37:00		S07	W55	SF	15		
20704	2015-04-19	16:01:00		16:04:00		16:08:00		N06	E04	SF	10		
20703	2015-04-19	06:14:00	B	06:17:00		06:21:00		N18	E08	SF	30		
20702	2015-04-18	13:48:00	B	13:49:00	U	13:57:00	D	N20	E17	SF	30	20150418_1324-1409_big.avi	
20701	2015-04-18	13:48:00	B	13:49:00	U	13:57:00	D	N02	E28	SF	35	20150418_1324-1409_big.avi	
