2011/01/11 00:00:00	11140	32	61	184	0130	H	s	x	04	01	Alpha	REGIONS WITH SUNSPOTS
2011/01/11 00:00:00	11145	16	-27	098	0010	B	x	o	05	03	Beta	REGIONS WITH SUNSPOTS
2011/01/11 00:00:00	11146	23	-46	077	0000	A	x	x	01	01	Alpha	REGIONS WITH SUNSPOTS
2011/01/11 00:00:00	11142	-17	88	212	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/11 00:00:00	11143	-23	24	146	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/11 00:00:00	11144	-16	49	173	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/11 00:00:00	11136	-22	\N	\N	\N	\N	\N	\N	\N	\N	\N	REGIONS DUE TO RETURN
2011/01/12 00:00:00	11140	33	74	185	0120	C	s	o	05	03	Beta	REGIONS WITH SUNSPOTS
2011/01/12 00:00:00	11146	23	-33	076	0010	B	x	o	02	03	Beta	REGIONS WITH SUNSPOTS
2011/01/12 00:00:00	11143	-23	37	146	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/12 00:00:00	11144	-16	62	173	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/12 00:00:00	11145	16	-14	098	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/13 00:00:00	11140	32	87	183	0070	H	s	x	03	01	Alpha	REGIONS WITH SUNSPOTS
2011/01/13 00:00:00	11146	24	-19	078	0010	B	x	o	02	02	Beta	REGIONS WITH SUNSPOTS
2011/01/13 00:00:00	11143	-23	50	146	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/13 00:00:00	11144	-16	75	173	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/13 00:00:00	11145	16	-01	098	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/14 00:00:00	11146	23	-06	076	0010	B	x	o	03	04	Beta	REGIONS WITH SUNSPOTS
2011/01/14 00:00:00	11143	-23	63	146	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/14 00:00:00	11144	-16	88	173	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/14 00:00:00	11145	16	12	098	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/14 00:00:00	11138	12	\N	\N	\N	\N	\N	\N	\N	\N	\N	REGIONS DUE TO RETURN
2011/01/15 00:00:00	11145	16	25	100	0000	A	x	x	01	01	Alpha	REGIONS WITH SUNSPOTS
2011/01/15 00:00:00	11143	-23	76	146	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/15 00:00:00	11146	23	06	076	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/15 00:00:00	11138	12	\N	\N	\N	\N	\N	\N	\N	\N	\N	REGIONS DUE TO RETURN
2011/01/16 00:00:00	11147	24	-80	344	0120	H	r	x	01	01	Alpha	REGIONS WITH SUNSPOTS
2011/01/16 00:00:00	11143	-23	89	146	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/16 00:00:00	11145	16	43	100	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/16 00:00:00	11146	23	19	076	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/16 00:00:00	11138	12	\N	\N	\N	\N	\N	\N	\N	\N	\N	REGIONS DUE TO RETURN
2011/01/17 00:00:00	11147	27	-65	339	0120	D	s	o	06	05	Beta	REGIONS WITH SUNSPOTS
2011/01/17 00:00:00	11145	16	56	100	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/17 00:00:00	11146	23	32	076	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/18 00:00:00	11147	25	-52	339	0150	C	s	o	11	12	Beta	REGIONS WITH SUNSPOTS
2011/01/18 00:00:00	11148	-28	32	065	0010	B	x	o	05	04	Beta	REGIONS WITH SUNSPOTS
2011/01/18 00:00:00	11145	16	69	100	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/18 00:00:00	11146	23	45	076	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/18 00:00:00	11141	35	\N	\N	\N	\N	\N	\N	\N	\N	\N	REGIONS DUE TO RETURN
2011/01/19 00:00:00	11147	26	-37	340	0160	C	s	o	13	12	Beta-Gamma	REGIONS WITH SUNSPOTS
2011/01/19 00:00:00	11148	-28	46	063	0030	C	r	o	04	02	Beta	REGIONS WITH SUNSPOTS
2011/01/19 00:00:00	11145	16	82	100	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/19 00:00:00	11146	23	58	076	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/19 00:00:00	11141	35	\N	\N	\N	\N	\N	\N	\N	\N	\N	REGIONS DUE TO RETURN
2011/01/20 00:00:00	11147	25	-22	343	0130	C	s	o	09	07	Beta-Gamma	REGIONS WITH SUNSPOTS
2011/01/20 00:00:00	11148	-28	57	062	0010	A	x	x	01	01	Alpha	REGIONS WITH SUNSPOTS
2011/01/20 00:00:00	11146	23	71	076	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/20 00:00:00	11139	-27	\N	\N	\N	\N	\N	\N	\N	\N	\N	REGIONS DUE TO RETURN
2011/01/20 00:00:00	11141	35	\N	\N	\N	\N	\N	\N	\N	\N	\N	REGIONS DUE TO RETURN
2011/01/21 00:00:00	11147	24	-09	342	0170	C	s	o	09	09	Beta	REGIONS WITH SUNSPOTS
2011/01/21 00:00:00	11148	-28	72	063	0020	B	x	o	02	03	Alpha	REGIONS WITH SUNSPOTS
2011/01/21 00:00:00	11146	23	84	076	\N	\N	\N	\N	\N	\N	\N	H-ALPHA PLAGES WITHOUT SPOTS
2011/01/21 00:00:00	11139	-27	\N	\N	\N	\N	\N	\N	\N	\N	\N	REGIONS DUE TO RETURN
2011/01/22 00:00:00	11147	24	07	345	0090	H	s	x	05	02	Alpha	REGIONS WITH SUNSPOTS
